Is Ethan male; 1
Is Erica female; 1
Is Erica male; 0
Is Ethan female; 0
Should Aum be captain; 0
Should Ethan be captain; 1
Should Hudson be captain; 1
Should Charlie be captain; 0
Should Aum change the robot; 0
Is Aum male; 1
Is Hudson male; 1
Is Aum female; 0
was technoblade not a legend; 0
is hudson female; 0
does ethan have good parents; 1
is charlie female; 0
is aaron female; 0
is Charlie male; 1
Is Aaron male; 1
Should Hudson change the robot; 1
Is Aum Annoying; 1
Can horses evolve into crabs; 1
Will the queen of england die of death; 0
should aum's drink bottle be allowed; 1
Is ethan being nerdy af; 1
Is Aum acting like ethan's dad and constantly lecturing him; 1
is it 2022; 1
is it not 2022; 0
is mango cute; 1
is mango annoying; 1
is mango harmless; 0
was technoblade a legend; 1
